Epoch	Train	Validation
epoch: 1, step: 4458, time: 2086.0, train: 10.729, valid: 8.350, train_acc: 0.266, valid_acc: 0.342
epoch: 2, step: 8916, time: 2080.0, train: 7.611, valid: 6.658, train_acc: 0.370, valid_acc: 0.410
epoch: 3, step: 13374, time: 2080.9, train: 6.735, valid: 6.234, train_acc: 0.407, valid_acc: 0.428
epoch: 4, step: 17832, time: 2078.6, train: 6.429, valid: 5.996, train_acc: 0.421, valid_acc: 0.441
epoch: 5, step: 22290, time: 2079.2, train: 6.221, valid: 5.855, train_acc: 0.431, valid_acc: 0.448
epoch: 6, step: 26748, time: 2077.4, train: 6.096, valid: 5.793, train_acc: 0.437, valid_acc: 0.452
epoch: 7, step: 31206, time: 2079.1, train: 5.996, valid: 5.688, train_acc: 0.442, valid_acc: 0.457
epoch: 8, step: 35664, time: 2078.0, train: 5.914, valid: 5.659, train_acc: 0.446, valid_acc: 0.458
epoch: 9, step: 40122, time: 2079.9, train: 5.855, valid: 5.620, train_acc: 0.449, valid_acc: 0.460
epoch: 10, step: 44580, time: 2077.2, train: 5.799, valid: 5.524, train_acc: 0.452, valid_acc: 0.466
epoch: 11, step: 49038, time: 2078.1, train: 5.763, valid: 5.520, train_acc: 0.454, valid_acc: 0.465
epoch: 12, step: 53496, time: 2074.9, train: 5.720, valid: 5.504, train_acc: 0.457, valid_acc: 0.467
epoch: 13, step: 57954, time: 2076.0, train: 5.668, valid: 5.437, train_acc: 0.459, valid_acc: 0.470
epoch: 14, step: 62412, time: 2077.4, train: 5.642, valid: 5.410, train_acc: 0.461, valid_acc: 0.472
epoch: 15, step: 66870, time: 2077.9, train: 5.611, valid: 5.437, train_acc: 0.462, valid_acc: 0.470
epoch: 16, step: 71328, time: 2073.6, train: 5.586, valid: 5.417, train_acc: 0.464, valid_acc: 0.472
epoch: 17, step: 75786, time: 2073.1, train: 5.557, valid: 5.357, train_acc: 0.466, valid_acc: 0.475
epoch: 18, step: 80244, time: 2071.3, train: 5.535, valid: 5.332, train_acc: 0.467, valid_acc: 0.477
epoch: 19, step: 84702, time: 2072.0, train: 5.513, valid: 5.329, train_acc: 0.468, valid_acc: 0.477
epoch: 20, step: 89160, time: 2071.8, train: 5.497, valid: 5.374, train_acc: 0.469, valid_acc: 0.475
epoch: 21, step: 93618, time: 2073.1, train: 5.471, valid: 5.341, train_acc: 0.470, valid_acc: 0.476
epoch: 22, step: 98076, time: 2070.7, train: 5.446, valid: 5.301, train_acc: 0.472, valid_acc: 0.478
epoch: 23, step: 102534, time: 2074.6, train: 5.438, valid: 5.270, train_acc: 0.472, valid_acc: 0.480
epoch: 24, step: 106992, time: 2072.8, train: 5.418, valid: 5.269, train_acc: 0.473, valid_acc: 0.480
epoch: 25, step: 111450, time: 2071.9, train: 5.402, valid: 5.215, train_acc: 0.474, valid_acc: 0.483
epoch: 26, step: 115908, time: 2068.9, train: 5.386, valid: 5.218, train_acc: 0.475, valid_acc: 0.483
epoch: 27, step: 120366, time: 2069.7, train: 5.375, valid: 5.273, train_acc: 0.476, valid_acc: 0.480
epoch: 28, step: 124824, time: 2068.4, train: 5.368, valid: 5.226, train_acc: 0.476, valid_acc: 0.483
epoch: 29, step: 129282, time: 2070.4, train: 5.346, valid: 5.218, train_acc: 0.478, valid_acc: 0.482
epoch: 30, step: 133740, time: 2070.7, train: 5.335, valid: 5.203, train_acc: 0.478, valid_acc: 0.484
epoch: 31, step: 138198, time: 2077.0, train: 5.322, valid: 5.175, train_acc: 0.479, valid_acc: 0.485
epoch: 32, step: 142656, time: 2075.0, train: 5.311, valid: 5.182, train_acc: 0.480, valid_acc: 0.485
epoch: 33, step: 147114, time: 2074.3, train: 5.300, valid: 5.176, train_acc: 0.480, valid_acc: 0.486
epoch: 34, step: 151572, time: 2074.5, train: 5.285, valid: 5.194, train_acc: 0.481, valid_acc: 0.484
epoch: 35, step: 156030, time: 2076.0, train: 5.285, valid: 5.156, train_acc: 0.481, valid_acc: 0.487
epoch: 36, step: 160488, time: 2072.5, train: 5.270, valid: 5.188, train_acc: 0.482, valid_acc: 0.485
epoch: 37, step: 164946, time: 2075.9, train: 5.268, valid: 5.148, train_acc: 0.482, valid_acc: 0.486
epoch: 38, step: 169404, time: 2074.3, train: 5.259, valid: 5.160, train_acc: 0.483, valid_acc: 0.487
epoch: 39, step: 173862, time: 2073.9, train: 5.241, valid: 5.134, train_acc: 0.484, valid_acc: 0.488
epoch: 40, step: 178320, time: 2074.1, train: 5.238, valid: 5.147, train_acc: 0.484, valid_acc: 0.487
epoch: 41, step: 182778, time: 2076.3, train: 5.228, valid: 5.117, train_acc: 0.485, valid_acc: 0.489
epoch: 42, step: 187236, time: 2073.0, train: 5.225, valid: 5.140, train_acc: 0.485, valid_acc: 0.488
epoch: 43, step: 191694, time: 2071.6, train: 5.206, valid: 5.111, train_acc: 0.486, valid_acc: 0.490
epoch: 44, step: 196152, time: 2070.1, train: 5.208, valid: 5.142, train_acc: 0.486, valid_acc: 0.488
epoch: 45, step: 200610, time: 2071.5, train: 5.202, valid: 5.110, train_acc: 0.486, valid_acc: 0.490
epoch: 46, step: 205068, time: 2070.1, train: 5.195, valid: 5.092, train_acc: 0.487, valid_acc: 0.491
epoch: 47, step: 209526, time: 2072.5, train: 5.188, valid: 5.101, train_acc: 0.487, valid_acc: 0.490
epoch: 48, step: 213984, time: 2070.6, train: 5.184, valid: 5.109, train_acc: 0.487, valid_acc: 0.490
epoch: 49, step: 218442, time: 2072.4, train: 5.169, valid: 5.104, train_acc: 0.488, valid_acc: 0.490
